fighter_name,first_name,last_name,nickname,fighter_url,height,weight,reach,stance,wins,losses,draws
Olaf Alfonso,Olaf,Alfonso,,http://www.ufcstats.com/fighter-details/b757c73f443d4fca,"6' 2""",170 lbs.,--,Orthodox,8,12,0
Pablo Alfonso,Pablo,Alfonso,The Hurricane,http://www.ufcstats.com/fighter-details/4b37a0bc2ab4cae1,"5' 8""",145 lbs.,--,,9,7,0
Levi Alford,Levi,Alford,,http://www.ufcstats.com/fighter-details/41b34b7f11f6d085,--,--,--,,1,7,0
Bill Algeo,Bill,Algeo,Senor Perfecto,http://www.ufcstats.com/fighter-details/9abc648e76c4493a,"6' 0""",145 lbs.,"73.0""",Switch,18,9,0
Royce Alger,Royce,Alger,,http://www.ufcstats.com/fighter-details/669a3cb6e394f515,"5' 10""",199 lbs.,--,Orthodox,3,2,0
Amir Aliakbari,Amir,Aliakbari,,http://www.ufcstats.com/fighter-details/e17770faae3ca54c,"6' 3""",250 lbs.,--,,10,1,0
Sultan Aliev,Sultan,Aliev,,http://www.ufcstats.com/fighter-details/e70de1859b7ee78e,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0
Nurullo Aliev,Nurullo,Aliev,Tajik Eagle,http://www.ufcstats.com/fighter-details/ca28cdf526d6b6e9,"5' 10""",155 lbs.,"72.0""",Orthodox,11,0,0
Kimbert Alintozon,Kimbert,Alintozon,The Hunter,http://www.ufcstats.com/fighter-details/a075a34d7527fadf,--,135 lbs.,--,,7,3,0
Ikram Aliskerov,Ikram,Aliskerov,,http://www.ufcstats.com/fighter-details/b07aed698fba8624,"6' 0""",185 lbs.,"76.0""",Southpaw,17,2,0
Leon Aliu,Leon,Aliu,The Albanian Lion,http://www.ufcstats.com/fighter-details/6db394bf6c3b017c,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0
John Allan,John,Allan,,http://www.ufcstats.com/fighter-details/6ebe96a116e79e52,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0
George Allen,George,Allen,,http://www.ufcstats.com/fighter-details/1e13936d708bcff7,"6' 2""",205 lbs.,--,Open Stance,13,19,2
Arnold Allen,Arnold,Allen,Almighty,http://www.ufcstats.com/fighter-details/040a74bb0a465c54,"5' 8""",145 lbs.,"70.0""",Southpaw,20,4,0
Brendan Allen,Brendan,Allen,All In,http://www.ufcstats.com/fighter-details/2f181c0467965b98,"6' 2""",185 lbs.,"75.0""",Orthodox,26,7,0
Daniel Allen,Daniel,Allen,,http://www.ufcstats.com/fighter-details/adf9a901308fb8e3,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0
Ben Alloway,Ben,Alloway,Blanco,http://www.ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0
Asu Almabayev,Asu,Almabayev,Zulfikar,http://www.ufcstats.com/fighter-details/8d3273573b85be09,"5' 4""",125 lbs.,"65.0""",Orthodox,23,3,0
Bekzat Almakhan,Bekzat,Almakhan,The Turan Warrior,http://www.ufcstats.com/fighter-details/a4dc0f2b95df4cc1,"5' 7""",135 lbs.,"68.0""",Orthodox,12,3,0
John Dave Almanza,John Dave,Almanza,The Striker,http://www.ufcstats.com/fighter-details/088aa1b19b2dc14a,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0
Ricardo Almeida,Ricardo,Almeida,Big Dog,http://www.ufcstats.com/fighter-details/91186547a7f3f758,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0
Magno Almeida,Magno,Almeida,,http://www.ufcstats.com/fighter-details/d615d6a10a4704cd,"6' 0""",155 lbs.,--,,10,3,0
Thomas Almeida,Thomas,Almeida,Thominhas,http://www.ufcstats.com/fighter-details/2b074403b7c6cdb4,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0
Ericka Almeida,Ericka,Almeida,,http://www.ufcstats.com/fighter-details/67a992d4cff22466,"5' 6""",115 lbs.,--,Orthodox,7,3,0
Estefani Almeida,Estefani,Almeida,,http://www.ufcstats.com/fighter-details/f16ddfa31236efed,"5' 4""",125 lbs.,--,Orthodox,7,3,0
Jailton Almeida,Jailton,Almeida,Malhadinho,http://www.ufcstats.com/fighter-details/41e83a89929d1327,"6' 3""",225 lbs.,"79.0""",Orthodox,22,5,0
Lucas Almeida,Lucas,Almeida,,http://www.ufcstats.com/fighter-details/710f0f8c5d5c9d41,"5' 11""",145 lbs.,"71.0""",Orthodox,15,5,0
Cesar Almeida,Cesar,Almeida,Cesinha,http://www.ufcstats.com/fighter-details/64d47ef881a437a4,"6' 1""",185 lbs.,"74.0""",Orthodox,7,2,0
Mauricio Alonso,Mauricio,Alonso,,http://www.ufcstats.com/fighter-details/c6bf75775b278ed8,"6' 2""",170 lbs.,--,,13,7,0
Sarah Alpar,Sarah,Alpar,Too Sweet,http://www.ufcstats.com/fighter-details/49b130de1da2e1bf,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0
Ali AlQaisi,Ali,AlQaisi,The Royal Fighter,http://www.ufcstats.com/fighter-details/e87a13e02c01331d,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0
Rico Altamirano,Rico,Altamirano,,http://www.ufcstats.com/fighter-details/c61b49cec6abd6b9,"5' 10""",170 lbs.,--,,4,3,0
Victor Altamirano,Victor,Altamirano,El Magnifico,http://www.ufcstats.com/fighter-details/dc7927cd622676a7,"5' 8""",125 lbs.,"70.0""",Switch,12,5,0
Mike Altman,Mike,Altman,,http://www.ufcstats.com/fighter-details/c11036da9162cb5f,"5' 10""",185 lbs.,--,Orthodox,1,4,0
Patricia Alujas,Patricia,Alujas,The Angel,http://www.ufcstats.com/fighter-details/430c533614d45813,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0
Sean Alvarez,Sean,Alvarez,,http://www.ufcstats.com/fighter-details/e741536153227386,"6' 0""",235 lbs.,--,Orthodox,4,3,0
Eddie Alvarez,Eddie,Alvarez,,http://www.ufcstats.com/fighter-details/33a331684283900f,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0
Jaime Alvarez,Jaime,Alvarez,,http://www.ufcstats.com/fighter-details/4438482bd1d5a029,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0
Joel Alvarez,Joel,Alvarez,El Fenomeno,http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc,"6' 3""",170 lbs.,"77.0""",Orthodox,23,3,0
Thiago Alves,Thiago,Alves,Pitbull,http://www.ufcstats.com/fighter-details/31ee470ef5dc8d7f,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0
Anthony Alves,Anthony,Alves,,http://www.ufcstats.com/fighter-details/bd92cf5da5413d2a,--,--,--,,1,4,0
Amilcar Alves,Amilcar,Alves,,http://www.ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,"6' 0""",170 lbs.,--,Southpaw,15,12,0
Warlley Alves,Warlley,Alves,,http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0
